Region of Incident,Reported Date,Reported Year,Reported Month,Number Dead,Minimum Estimated Number of Missing,Total Dead and Missing,Number of Survivors,Number of Females,Number of Males,Number of Children,Cause of Death,Location Description,Information Source,Location Coordinates,Migration Route,UNSD Geographical Grouping,Source Quality
Sub-Saharan Africa,21-Dec-17,2017,Dec,1,NULL,1,NULL,NULL,1,NULL,Sickness and lack of access to medicines,"Dori, Burkina Faso",Mixed Migration Monitoring Mechanism Initiative (4Mi),"-0.023320800000, 14.024647300000",NULL,Western Africa,2
North Africa,21-Dec-17,2017,Dec,2,NULL,2,NULL,1,1,NULL,"Sickness and lack of access to medicines, Dehydration, Harsh weather/lack of adequate shelter","Sahara desert, Libya",Mixed Migration Monitoring Mechanism Initiative (4mi),"23.719983000000, 14.848483000000",NULL,Northern Africa,2
North Africa,21-Dec-17,2017,Dec,2,NULL,2,NULL,NULL,2,NULL,Starvation,"Aswan, Egypt",Mixed Migration Monitoring Mechanism Initiative (4Mi),"32.899829300000, 24.088938000000",NULL,Northern Africa,2
North Africa,21-Dec-17,2017,Dec,2,NULL,2,NULL,NULL,2,NULL,"Starvation, Dehydration","Unspecified location in the Sahara desert, Sudan",Mixed Migration Monitoring Mechanism Initiative (4Mi),"29.399414060000, 17.780401050000",NULL,Northern Africa,2
Europe,21-Dec-17,2017,Dec,1,NULL,1,NULL,NULL,1,1,Hit by truck,"Near Calais, France","L'Express, The Guardian","50.953020261886, 1.919110804688",Calais to United Kingdom,Western Europe,3
South Asia,20-Dec-17,2017,Dec,1,NULL,1,NULL,NULL,1,NULL,Vehicle Accident,"Kerman province, Iran",IOM Afghanistan,"29.485008900000, 57.643904800000",NULL,Southern Asia,4
North Africa,20-Dec-17,2017,Dec,1,NULL,1,NULL,1,NULL,NULL,Sickness and lack of access to medicines,"Al Hajer, Sudan",Mixed Migration Monitoring Mechanism Initiative (4Mi),"33.229176960000, 14.101544910000",NULL,Northern Africa,2
North Africa,20-Dec-17,2017,Dec,2,NULL,2,NULL,NULL,2,NULL,"Starvation, Excessive Physical Abuse","Sabratha, Libya",Mixed Migration Monitoring Mechanism Initiative (4Mi),"12.449522100000, 32.781101600000",NULL,Northern Africa,2
Sub-Saharan Africa,20-Dec-17,2017,Dec,3,NULL,3,NULL,NULL,NULL,NULL,Sickness and lack of access to medicines,"Madamma, Niger, near the border with Libya",Mixed Migration Monitoring Mechanism Initiative (4Mi),"13.626142400000, 21.935449900000",NULL,Western Africa,2
Horn of Africa,20-Dec-17,2017,Dec,1,NULL,1,NULL,1,NULL,NULL,"Dehydration, Harsh weather/lack of adequate shelter","Eritrea, near the border with Sudan",Mixed Migration Monitoring Mechanism Initiative (4Mi),"36.474762590000, 15.104155430000",NULL,Eastern Africa,2
North Africa,20-Dec-17,2017,Dec,4,NULL,4,NULL,NULL,4,NULL,"Starvation, Excessive Physical Abuse","Bani Walid, Libya",Mixed Migration Monitoring Mechanism Initiative (4Mi),"14.053676000000, 31.797583100000",NULL,Northern Africa,2
North Africa,19-Dec-17,2017,Dec,1,NULL,1,NULL,1,NULL,NULL,Starvation,"Unspecified location in the Sahara desert, Libya",Mixed Migration Monitoring Mechanism Initiative (4Mi),"14.106445310000, 29.051517840000",NULL,Northern Africa,2
North Africa,19-Dec-17,2017,Dec,1,NULL,1,NULL,NULL,1,NULL,"Shot, Stabbed","Ajdabiya, Libya",Mixed Migration Monitoring Mechanism Initiative (4Mi),"20.140259400000, 30.214647000000",NULL,Northern Africa,2
Central America,19-Dec-17,2017,Dec,6,NULL,6,NULL,1,5,1,Vehicle Accident,"KM 56 Highway Zaragoza-GonzÃ¡lez, near Ciudad Victoria, Tamaulipas, Mexico","El Heraldo, La Tribuna, La Verdad","23.827397232912, -99.175447675391",Central America to US,Central America,3
Middle East,19-Dec-17,2017,Dec,1,NULL,1,NULL,NULL,1,NULL,Hypothermia,"Hospital in Edirne, Turkey, after falling into Evros river, Greece-Turkey border","Daily Sabah, Son Haberler, Milliyet","41.677129700000, 26.555714500000",NULL,Western Asia,3
US-Mexico Border,18-Dec-17,2017,Dec,1,NULL,1,NULL,NULL,1,NULL,Unknown (skeletal remains),"Pima County, Arizona, USA",Pima County Office of the Medical Examiner,"32.064820600000, -112.472643900000",Central America to US,Northern America,5
Central America,18-Dec-17,2017,Dec,1,NULL,1,NULL,NULL,1,NULL,Hit by train,"Train tracks, km 19 between EstaciÃ³n Zamora and EstaciÃ³n Pesqueira, San Miguel de Horcasitas, Sonora, Mexico",Nuevo DÃ­a Nogales,"29.489876900000, -110.721806100000",Central America to US,Central America,1
North Africa,17-Dec-17,2017,Dec,3,NULL,3,NULL,NULL,NULL,NULL,Unknown,"Unspecified location in the Sahara desert, Libya",Mixed Migration Monitoring Mechanism Initiative (4Mi),"13.853759770000, 28.464013180000",NULL,Northern Africa,2
North Africa,16-Dec-17,2017,Dec,5,NULL,5,NULL,NULL,5,NULL,"Dehydration, Harsh weather/lack of adequate shelter","Unspecified location in the Sahara desert, Libya",Mixed Migration Monitoring Mechanism Initiative (4Mi),"12.919921880000, 24.537441720000",NULL,Northern Africa,2
South Asia,16-Dec-17,2017,Dec,5,NULL,5,NULL,NULL,5,2,Vehicle Accident,"Unspecified location in Isfahan, Iran",IOM Afghanistan,"32.449665431345, 52.163085937500",NULL,Southern Asia,4
Mediterranean,16-Dec-17,2017,Dec,NULL,3,3,20,NULL,NULL,NULL,Presumed drowning,Unspecified location off the coast of Morocco,"Caminando Fronteras, Alarm Phone","35.882833113479, -5.803099736328",Western Mediterranean,Uncategorized,5
North Africa,16-Dec-17,2017,Dec,3,NULL,3,NULL,NULL,3,NULL,Starvation,"Sabratha, Libya",Mixed Migration Monitoring Mechanism Initiative (4Mi),"12.449522100000, 32.781101600000",NULL,Northern Africa,2
North Africa,16-Dec-17,2017,Dec,7,NULL,7,NULL,NULL,7,NULL,"Dehydration, Harsh weather/lack of adequate shelter","Unspecified location in the Sahara desert, Libya",Mixed Migration Monitoring Mechanism Initiative (4Mi),"14.238281250000, 24.557428430000",NULL,Northern Africa,2
Mediterranean,15-Dec-17,2017,Dec,1,NULL,1,4,NULL,1,NULL,Unknown (found on dinghy),"4 miles off the coast of San Roque, CÃ¡diz, Spain","Spanish Red Cross, Europa Sur, El Diario de Sevilla, La Voz Digital","36.125095674655, -5.169511656055",Western Mediterranean,Uncategorized,4
North Africa,15-Dec-17,2017,Dec,1,NULL,1,NULL,NULL,NULL,NULL,Unknown,"Surman, Libya",Mixed Migration Monitoring Mechanism Initiative (4Mi),"12.564226100000, 32.747304700000",NULL,Northern Africa,2
South Asia,15-Dec-17,2017,Dec,3,NULL,3,NULL,1,1,NULL,Unknown,"Sistan and Baluchestan Province Iran, near border with Pakistan",Mixed Migration Monitoring Mechanism Initiative (4mi),"28.352186000000, 62.374728000000",NULL,Southern Asia,2
North Africa,15-Dec-17,2017,Dec,1,NULL,1,NULL,NULL,1,NULL,Shot or stabbed,"Sabha, Libya",Mixed Migration Monitoring Mechanism Initiative (4mi),"27.017231000000, 14.455049000000",NULL,Northern Africa,2
North Africa,15-Dec-17,2017,Dec,4,NULL,4,NULL,NULL,NULL,NULL,"Dehydration, Harsh weather/lack of adequate shelter","Unspecified location in the Sahara desert, Libya",Mixed Migration Monitoring Mechanism Initiative (4Mi),"15.578613280000, 25.215191680000",NULL,Northern Africa,2
South Asia,15-Dec-17,2017,Dec,1,NULL,1,NULL,NULL,1,NULL,Unknown,"Sistan and Baluchestan Province Iran, near border with Pakistan",Mixed Migration Monitoring Mechanism Initiative (4mi),"28.487687000000, 61.797528000000",NULL,Southern Asia,2
South Asia,15-Dec-17,2017,Dec,1,NULL,1,NULL,NULL,1,NULL,Unknown,"Sistan and Baluchestan Province Iran, near border with Pakistan",Mixed Migration Monitoring Mechanism Initiative (4mi),"28.720014000000, 61.538556000000",NULL,Southern Asia,2
South Asia,14-Dec-17,2017,Dec,1,NULL,1,NULL,NULL,1,NULL,Vehicle Accident,"Asfhan province, Iran",IOM Afghanistan,"33.277107300000, 52.361337800000",NULL,Southern Asia,4
Mediterranean,14-Dec-17,2017,Dec,1,NULL,1,68,NULL,NULL,NULL,Drowning,"5 nautical miles west of Alboran Island, between Spain and Morocco",Salvamento MarÃ­timo,"35.938908600000, -3.180596302148",Western Mediterranean,Uncategorized,5
US-Mexico Border,14-Dec-17,2017,Dec,1,NULL,1,NULL,NULL,NULL,NULL,Hypothermia,"Ranch near Falfurrias, Brooks County, Texas",U.S. Border Patrol,"27.071795621620, -98.265021009375",Central America to US,Uncategorized,5
South Asia,13-Dec-17,2017,Dec,1,NULL,1,NULL,NULL,1,NULL,Vehicle Accident,"Jiroft, Kerman province, Iran",IOM Afghanistan,"28.675112400000, 57.737156900000",NULL,Southern Asia,4
North Africa,13-Dec-17,2017,Dec,3,NULL,3,NULL,NULL,3,NULL,Harsh weather/lack of adequate shelter,"Unspecified location in the Sahara desert, Egypt",Mixed Migration Monitoring Mechanism Initiative (4Mi),"26.718750000000, 28.661972470000",NULL,Northern Africa,2
Mediterranean,13-Dec-17,2017,Dec,NULL,2,2,31,NULL,NULL,NULL,Presumed drowning,"Unspecified location in the Alboran Sea, between Spain and Morocco",Salvamento MarÃ­timo,"36.214401400000, -3.419552700000",Western Mediterranean,Uncategorized,5
North Africa,13-Dec-17,2017,Dec,3,NULL,3,NULL,NULL,NULL,NULL,Starvation,"Bani Walid, Libya",Mixed Migration Monitoring Mechanism Initiative (4Mi),"14.053676000000, 31.797583100000",NULL,Northern Africa,2
US-Mexico Border,13-Dec-17,2017,Dec,7,NULL,7,NULL,2,8,NULL,Hypothermia,"Various locations in Texas, USA",KGNS,"27.817448700000, -99.012892600000",Central America to US,Northern America,1
North Africa,13-Dec-17,2017,Dec,1,NULL,1,NULL,1,NULL,NULL,Starvation,"Bani Walid, Libya",Mixed Migration Monitoring Mechanism Initiative (4Mi),"14.053676000000, 31.797583100000",NULL,Northern Africa,2
North Africa,12-Dec-17,2017,Dec,4,NULL,4,NULL,NULL,NULL,NULL,"Dehydration, Harsh weather/lack of adequate shelter","Unspecified location in the Sahara desert, Libya",Mixed Migration Monitoring Mechanism Initiative (4Mi),"14.062500000000, 25.195311080000",NULL,Northern Africa,2
North Africa,12-Dec-17,2017,Dec,3,NULL,3,NULL,NULL,NULL,NULL,Dehydration,"Unspecified location in the Sahara desert, Libya",Mixed Migration Monitoring Mechanism Initiative (4Mi),"14.677734380000, 24.956491290000",NULL,Northern Africa,2
South Asia,12-Dec-17,2017,Dec,1,NULL,1,NULL,NULL,1,1,Vehicle Accident,"Tehran province, Iran",IOM Afghanistan,"35.724841600000, 51.381653000000",NULL,Southern Asia,4
South Asia,11-Dec-17,2017,Dec,1,NULL,1,NULL,NULL,1,1,Vehicle Accident,"Sarwan, Sistan and Baluchestan province, Iran",IOM Afghanistan,"27.352603300000, 62.344781500000",NULL,Southern Asia,4
South Asia,11-Dec-17,2017,Dec,1,NULL,1,NULL,NULL,1,NULL,Vehicle Accident,"Sarwan, Sistan and Baluchestan province, Iran",IOM Afghanistan,"27.352603300000, 62.344781500000",NULL,Southern Asia,4
South Asia,11-Dec-17,2017,Dec,1,NULL,1,NULL,NULL,1,NULL,Vehicle Accident,"Bandar Abbas, Hormozgan province, Iran",IOM Afghanistan,"27.183221600000, 56.266645500000",NULL,Southern Asia,4
South Asia,11-Dec-17,2017,Dec,1,NULL,1,NULL,NULL,1,NULL,Vehicle Accident,"Rafsanjan, Kerman province, Iran",IOM Afghanistan,"30.354889300000, 56.002705000000",NULL,Southern Asia,4
South Asia,11-Dec-17,2017,Dec,1,NULL,1,NULL,NULL,1,NULL,Vehicle Accident,"Sarwan, Sistan and Baluchestan province, Iran",IOM Afghanistan,"27.352603300000, 62.344781500000",NULL,Southern Asia,4
South Asia,10-Dec-17,2017,Dec,1,NULL,1,NULL,NULL,1,NULL,Vehicle Accident,"Isfahan province, Iran",IOM Afghanistan,"33.277107300000, 52.361337800000",NULL,Southern Asia,4
South Asia,10-Dec-17,2017,Dec,1,NULL,1,NULL,NULL,1,NULL,Vehicle Accident,"Isfahan province, Iran",IOM Afghanistan,"33.277107300000, 52.361337800000",NULL,Southern Asia,4
South Asia,10-Dec-17,2017,Dec,1,NULL,1,NULL,NULL,1,NULL,Vehicle Accident,"Rafsanjan, Kerman province, Iran",IOM Afghanistan,"30.354889300000, 56.002705000000",NULL,Southern Asia,4
US-Mexico Border,9-Dec-17,2017,Dec,1,NULL,1,NULL,NULL,1,NULL,Hypothermia,"Colonia Pima 2, northeast Nogales, Sonora, Mexico","El Diaro de Sonora, InfoNogales","31.329820649800, -110.920176967090",Central America to US,Central America,3
US-Mexico Border,9-Dec-17,2017,Dec,3,NULL,3,NULL,NULL,3,NULL,Hypothermia,"Dos Jefes Pasture, Laborcitas Creek Ranch, Brooks County, Texas",South Texas Human Rights Center director Eduardo Canales,"27.240319400000, -98.204450400000",Central America to US,Northern America,5
US-Mexico Border,9-Dec-17,2017,Dec,2,NULL,2,NULL,NULL,2,NULL,Hypothermia,"Cage Ranch, Brooks County, Texas",South Texas Human Rights Center director Eduardo Canales,"27.109369900000, -98.212334600000",Central America to US,Northern America,5
North Africa,9-Dec-17,2017,Dec,2,NULL,2,NULL,NULL,2,NULL,"Starvation, Dehydration","Unspecified location in the Sahara desert, Libya",Mixed Migration Monitoring Mechanism Initiative (4Mi),"22.741699220000, 29.277115800000",NULL,Northern Africa,2
US-Mexico Border,9-Dec-17,2017,Dec,2,NULL,2,NULL,NULL,NULL,NULL,Hypothermia,"Near Highway 281, north of the Falfurrias U.S. Border Patrol checkpoint, Brooks County, Texas, USA",U.S. Border Patrol,"27.205835954845, -98.140193069189",Central America to US,Northern America,5
North Africa,9-Dec-17,2017,Dec,3,NULL,3,NULL,NULL,3,NULL,Vehicle Accident,"Sahara desert, near Sabha, Libya",Mixed Migration Monitoring Mechanism Initiative (4mi),"26.684275000000, 14.389703000000",NULL,Northern Africa,2
Sub-Saharan Africa,9-Dec-17,2017,Dec,2,NULL,2,NULL,2,NULL,NULL,Vehicle Accident,"Taza, Niger",Mixed Migration Monitoring Mechanism Initiative (4mi),"15.367289000000, 5.205284000000",NULL,Western Africa,2
US-Mexico Border,8-Dec-17,2017,Dec,1,NULL,1,14,NULL,1,NULL,Hypothermia,"Big Bend area, near Marfa, Presidio County, Texas, USA",U.S. Border Patrol,"29.127486900000, -103.242537900000",Central America to US,Northern America,5
Mediterranean,8-Dec-17,2017,Dec,3,5,8,4,NULL,3,NULL,Drowning,"Off Plage de Messida, El Kala, wilaya of El Tarf, Algeria, en route to Italy",Le Quotidien d'Oran,"36.949195213437, 8.448509527539",Central Mediterranean,Uncategorized,3
Sub-Saharan Africa,8-Dec-17,2017,Dec,5,NULL,5,NULL,NULL,5,NULL,Excessive Physical Abuse,"Kidal, Mali",Mixed Migration Monitoring Mechanism Initiative (4Mi),"1.409653500000, 18.452071300000",NULL,Western Africa,2
US-Mexico Border,8-Dec-17,2017,Dec,1,NULL,1,NULL,1,NULL,NULL,Hypothermia,"Ranch near Hidalgo, Hidalgo County, Texas, USA",U.S. Border Patrol,"26.458255427725, -98.221984545508",Central America to US,Northern America,5
Sub-Saharan Africa,8-Dec-17,2017,Dec,2,NULL,2,NULL,NULL,2,NULL,Excessive Physical Abuse,"Calabar, Nigeria",Mixed Migration Monitoring Mechanism Initiative (4Mi),"8.341700600000, 4.975716500000",NULL,Western Africa,2
North Africa,8-Dec-17,2017,Dec,2,NULL,2,NULL,1,1,NULL,"Sickness and lack of access to medicines, Harsh weather/lack of adequate shelter, Dehydration","Sahara desert, Libya",Mixed Migration Monitoring Mechanism Initiative (4mi),"24.121689000000, 13.575951000000",NULL,Northern Africa,2
North Africa,8-Dec-17,2017,Dec,1,NULL,1,NULL,NULL,1,NULL,Starvation,"Bani Walid, Libya",Mixed Migration Monitoring Mechanism Initiative (4Mi),"14.053676000000, 31.797583100000",NULL,Northern Africa,2
North Africa,7-Dec-17,2017,Dec,4,NULL,4,NULL,NULL,NULL,NULL,Unknown,"Unspecified location in the Sahara desert, Libya",Mixed Migration Monitoring Mechanism Initiative (4Mi),"21.665039060000, 27.887942670000",NULL,Northern Africa,2
US-Mexico Border,7-Dec-17,2017,Dec,1,NULL,1,NULL,NULL,1,NULL,Hypothermia,"Ranch near Norias, Kenedy County, Texas",U.S. Border Patrol,"26.764312242981, -97.799451947266",Central America to US,Northern America,5
US-Mexico Border,7-Dec-17,2017,Dec,1,NULL,1,NULL,NULL,1,NULL,Hypothermia,"Dos Jefes Pasture in Laborcitas Creek Ranch, Brooks County, Texas",South Texas Human Rights Center director Eduardo Canales,"27.240319400000, -98.204450400000",Central America to US,Northern America,5
US-Mexico Border,7-Dec-17,2017,Dec,1,NULL,1,NULL,NULL,NULL,NULL,Unknown,"Ranch near Falfurrias, Brooks County, Texas ",U.S. Border Patrol,"27.151251312948, -98.203222913672",Central America to US,Northern America,5
US-Mexico Border,7-Dec-17,2017,Dec,1,NULL,1,14,NULL,1,NULL,Hypothermia,"Paloma Ranch, near Eagle Pass, Maverick County, Texas, USA",U.S. Border Patrol,"27.252321571872, -97.863335577246",Central America to US,Northern America,5
US-Mexico Border,7-Dec-17,2017,Dec,1,NULL,1,NULL,NULL,1,NULL,Presumed drowning,"RÃ­o Bravo, near PeÃ±itas, Hidalgo County, Texas",U.S. Border Patrol,"26.224930549802, -98.445427845508",Central America to US,Northern America,5
North Africa,6-Dec-17,2017,Dec,1,NULL,1,NULL,1,NULL,NULL,Sickness and lack of access to medicines,"Tobruk, Libya",Mixed Migration Monitoring Mechanism Initiative (4Mi),"23.941751000000, 32.068175900000",NULL,Northern Africa,2
Caribbean,6-Dec-17,2017,Dec,NULL,12,12,NULL,NULL,2,NULL,Presumed drowning,"Off the coast of San Pedro de MacorÃ­s, Dominican Republic, en route to Puerto Rico","EFE, Listin Diario, 7 dÃ­as","18.080866385397, -69.101919293750",NULL,Caribbean,3
North Africa,6-Dec-17,2017,Dec,2,NULL,2,NULL,NULL,2,1,Starvation,"Tamanrasset, Algeria",Mixed Migration Monitoring Mechanism Initiative (4Mi),"5.525810700000, 22.788820900000",NULL,Northern Africa,2
North Africa,6-Dec-17,2017,Dec,2,NULL,2,NULL,NULL,2,NULL,"Starvation, Shot or stabbed","Bani Walid, Libya",Mixed Migration Monitoring Mechanism Initiative (4Mi),"14.053676000000, 31.797583100000",NULL,Northern Africa,2
North Africa,6-Dec-17,2017,Dec,3,NULL,3,NULL,NULL,NULL,NULL,"Starvation, Excessive Physical Abuse","Aswan, Egypt",Mixed Migration Monitoring Mechanism Initiative (4Mi),"32.899829300000, 24.088938000000",NULL,Northern Africa,2
North Africa,5-Dec-17,2017,Dec,3,NULL,3,NULL,NULL,NULL,NULL,Starvation,"Bani Walid, Libya",Mixed Migration Monitoring Mechanism Initiative (4Mi),"14.053676000000, 31.797583100000",NULL,Northern Africa,2
Mediterranean,4-Dec-17,2017,Dec,1,NULL,1,NULL,NULL,1,1,Presumed drowning,"3,5 miles east of Kharrouba, Mostaganem, Algeria",RÃ©flexion,"36.159616714092, 0.134644935938",Western Mediterranean,Uncategorized,1
Mediterranean,4-Dec-17,2017,Dec,1,NULL,1,35,NULL,1,NULL,Drowning,"Off the coast of Maro, Nerja, Spain","Spanish Red Cross, El Diario, ABC Andalucia","36.684664094550, -3.862161322656",Western Mediterranean,Uncategorized,4
South Asia,4-Dec-17,2017,Dec,3,NULL,3,9,NULL,NULL,NULL,Vehicle Accident,"15 km away from Murchehkhort, Isfahan, Iran","Voice of Refugees, EASO Social Media Monitoring Report, Iran Newspaper.com, Bartarinha","33.134302145824, 51.569516707031",NULL,Southern Asia,3
Mediterranean,4-Dec-17,2017,Dec,3,NULL,3,40,1,2,NULL,Presumed drowning,"Off the coast of Larache, Morocco","La Vanguardia, Asia Pacific Daily, Africa News","35.317984016666, -6.323177650000",Western Mediterranean,Uncategorized,3
North Africa,3-Dec-17,2017,Dec,2,NULL,2,NULL,NULL,2,NULL,"Dehydration, Harsh weather/lack of adequate shelter","Unspecified location in the Sahara desert, Libya",Mixed Migration Monitoring Mechanism Initiative (4Mi),"22.609863280000, 29.200423170000",NULL,Northern Africa,2
Middle East,3-Dec-17,2017,Dec,10,NULL,10,8,NULL,NULL,6,Vehicle Accident,"AltÄ±nÃ¶zÃ¼ district, Hatay, Turkey","Daily Sabah, Asia Pacific Daily, The New Arab","36.113614392446, 36.248016357422",NULL,Western Asia,3
US-Mexico Border,3-Dec-17,2017,Dec,1,NULL,1,NULL,NULL,1,NULL,Unknown (skeletal remains),"Pima County, Arizona, USA",Pima County Office of the Medical Examiner,"31.855573200000, -111.320524300000",Central America to US,Northern America,5
US-Mexico Border,3-Dec-17,2017,Dec,1,NULL,1,NULL,NULL,1,NULL,Unknown (skeletal remains),"Pima County, Arizona, USA",Pima County Office of the Medical Examiner,"31.695436100000, -110.418808600000",Central America to US,Northern America,5
Mediterranean,3-Dec-17,2017,Dec,NULL,3,3,18,NULL,NULL,NULL,Presumed drowning,"Off the coast of Tangiers, Morocco",Alarm Phone,"35.876390459221, -5.811981643750",Western Mediterranean,Uncategorized,4
Central America,3-Dec-17,2017,Dec,1,NULL,1,NULL,NULL,1,NULL,"Hit by train, Train Accident","Train tracks near Rancho Moralitos, Celaya, Guanajuato, Mexico","PeriÃ³dico AM, PeriÃ³dico Correo","20.488650070090, -100.800033950970",Central America to US,Central America,3
North Africa,2-Dec-17,2017,Dec,3,NULL,3,NULL,3,NULL,NULL,"Starvation, Dehydration, Harsh weather/lack of adequate shelter","Unspecified location in the Sahara desert, Libya",Mixed Migration Monitoring Mechanism Initiative (4Mi),"15.534667970000, 24.297353380000",NULL,Northern Africa,2
North Africa,2-Dec-17,2017,Dec,2,NULL,2,NULL,NULL,2,NULL,Sickness and lack of access to medicines,"Sahara desert, Sudan",Mixed Migration Monitoring Mechanism Initiative (4mi),"26.488741000000, 20.463043000000",NULL,Northern Africa,2
North Africa,1-Dec-17,2017,Dec,2,NULL,2,NULL,NULL,2,NULL,Vehicle Accident,"Sahara desert, Libya",Mixed Migration Monitoring Mechanism Initiative (4mi),"23.920992000000, 14.103058000000",NULL,Northern Africa,2
North Africa,1-Dec-17,2017,Dec,10,NULL,10,NULL,NULL,10,NULL,Dehydration,"Unspecified location in the Sahara desert, Libya",Mixed Migration Monitoring Mechanism Initiative (4Mi),"14.106445310000, 29.051517840000",NULL,Northern Africa,2
North Africa,30-Nov-17,2017,Nov,2,NULL,2,NULL,2,NULL,NULL,"Harsh weather/lack of adequate shelter, Dehydration","Sahara desert, Libya",Mixed Migration Monitoring Mechanism Initiative (4mi),"24.239099400834, 13.450413747070",NULL,Northern Africa,2
US-Mexico Border,30-Nov-17,2017,Nov,1,NULL,1,NULL,NULL,1,NULL,Unknown (violence),"Tecate, Baja California, Mexico",El Mexicano,"32.575382802031, -116.635383545510",Central America to US,Central America,1
North Africa,30-Nov-17,2017,Nov,2,NULL,2,NULL,NULL,2,NULL,Dehydration,"Unspecified location in the Sahara desert, Libya",Mixed Migration Monitoring Mechanism Initiative (4Mi),"13.853759770000, 28.464013180000",NULL,Northern Africa,2
North Africa,30-Nov-17,2017,Nov,3,NULL,3,NULL,NULL,3,NULL,Unknown,"Sabratha, Libya",Mixed Migration Monitoring Mechanism Initiative (4Mi),"12.449522100000, 32.781101600000",NULL,Northern Africa,2
North Africa,30-Nov-17,2017,Nov,14,NULL,14,NULL,1,NULL,1,"Starvation, Excessive Physical Abuse","Bani Walid, Libya",Mixed Migration Monitoring Mechanism Initiative (4Mi),"14.053676000000, 31.797583100000",NULL,Northern Africa,2
Mediterranean,30-Nov-17,2017,Nov,NULL,28,28,6,4,24,1,Presumed drowning,"Unspecified location in Gibraltar Strait. Boat left from Asilah, Morocco","Caminando Fronteras, El PaÃ­s","35.928564408919, -5.893536298438",Western Mediterranean,Uncategorized,4
US-Mexico Border,29-Nov-17,2017,Nov,1,NULL,1,NULL,NULL,1,NULL,Shot,"Remote area of the Baboquivari Mountain Range, west of Three Points,  27 miles southwest of Tucson, Arizona, USA","US Border Patrol, AZ Central, Pima Office of the Medical Examiner","31.805409100000, -111.617671300000",Central America to US,Northern America,5
US-Mexico Border,29-Nov-17,2017,Nov,1,NULL,1,NULL,NULL,1,NULL,Unknown (skeletal remains),"Laborcitas Creek Ranch, Falfurrias, Brooks County, Texas",South Texas Human Rights Center director Eduardo Canales,"27.240319400000, -98.204450400000",Central America to US,Northern America,5
Mediterranean,29-Nov-17,2017,Nov,3,1,4,2,NULL,NULL,NULL,Drowning,"5 miles south of Tarifa, CÃ¡diz, Spain","Salvamento MarÃ­timo, EFE, El Diario","35.970153678605, -5.603076408984",Western Mediterranean,Uncategorized,3
South Asia,29-Nov-17,2017,Nov,1,NULL,1,NULL,NULL,1,NULL,Vehicle Accident,"Laristan province, Iran",IOM Afghanistan,"33.581839400000, 48.398818600000",NULL,Southern Asia,4
US-Mexico Border,28-Nov-17,2017,Nov,1,NULL,1,NULL,NULL,1,NULL,Unknown (skeletal remains),"Pima County, Arizona, USA",Pima County Office of the Medical Examiner,"31.882441400000, -111.396185700000",Central America to US,Northern America,5
Europe,28-Nov-17,2017,Nov,4,NULL,4,4,NULL,NULL,NULL,Vehicle Accident,"Cliff near Kavala, east of Thessaloniki, Greece","AP, Pakistan Today","40.937607000000, 24.412866000000",NULL,Southern Europe,3
South Asia,28-Nov-17,2017,Nov,1,NULL,1,NULL,NULL,1,NULL,Shot,"Sarwan, Sistan and Baluchestan province, Iran",IOM Afghanistan,"27.352603300000, 62.344781500000",NULL,Southern Asia,4
Central America,28-Nov-17,2017,Nov,1,NULL,1,1,NULL,1,1,Hit by train,"Train tracks near Ã‰jido Independencia, Tenosique, Tabasco, Mexico",El Heraldo de Tabasco,"17.472665000000, -91.425051000000",Central America to US,Central America,1
Mediterranean,28-Nov-17,2017,Nov,1,NULL,1,NULL,NULL,1,NULL,Presumed drowning,"5 miles south of Cape Trafalgar, near Barbate, CÃ¡diz, Spain","La Vanguardia, Caminando Fronteras","36.082470985786, -6.026000976563",Western Mediterranean,Uncategorized,4
South Asia,27-Nov-17,2017,Nov,1,NULL,1,NULL,NULL,1,NULL,Shot,"Sarwan, Sistan and Baluchestan province, Iran",IOM Afghanistan,"27.352603300000, 62.344781500000",NULL,Southern Asia,4
US-Mexico Border,27-Nov-17,2017,Nov,1,NULL,1,NULL,NULL,1,NULL,Unknown,"Open desert, Salton City, Imperial County, California",Imperial County Coroner's Office,"33.293735437905, -116.030224075840",Central America to US,Northern America,5
Mediterranean,27-Nov-17,2017,Nov,1,NULL,1,NULL,NULL,1,NULL,Unknown,"Body found inside boat in Port of Melilla, Spain","La Vanguardia, El PeriÃ³dico","35.290387494344, -2.926591903613",Western Mediterranean,Uncategorized,3
Sub-Saharan Africa,27-Nov-17,2017,Nov,2,NULL,2,NULL,NULL,2,NULL,Sickness and lack of access to medicines,"Cotonou, Benin",Mixed Migration Monitoring Mechanism Initiative (4Mi),"2.391236200000, 6.370292800000",NULL,Western Africa,2
North Africa,26-Nov-17,2017,Nov,3,NULL,3,NULL,NULL,NULL,NULL,Vehicle Accident,"Unspecified location in the Sahara desert, Libya",Mixed Migration Monitoring Mechanism Initiative (4Mi),"14.238281250000, 24.557428430000",NULL,Northern Africa,2
Sub-Saharan Africa,26-Nov-17,2017,Nov,1,NULL,1,NULL,NULL,1,1,Vehicle Accident,"Ougadougou, Burkina Faso",Mixed Migration Monitoring Mechanism Initiative (4Mi),"-1.519660300000, 12.371427700000",NULL,Western Africa,2
